StudentID,AcademicCollege,AcademicDepartment,AcademicMajor,EnrollmentTerm,TermSeason,TermYear,CohortYear,FirstTimeStatus,CreditsAttempted,FullTimeStatus,GPA,RetainedNextFall
S00322,Health Sciences,Public Health,Public Health Major,Summer 2024,Summer,2024,2023,Continuing,5,Part-Time,2.74,
S00322,Health Sciences,Public Health,Public Health Major,Fall 2024,Fall,2024,2023,Continuing,11,Part-Time,2.9,Retained
S00322,Health Sciences,Public Health,Public Health Major,Spring 2025,Spring,2025,2023,Continuing,16,Full-Time,2.76,
S00322,Health Sciences,Public Health,Public Health Major,Summer 2025,Summer,2025,2023,Continuing,8,Full-Time,3.06,
S00323,Health Sciences,Nursing,Nursing Major,Fall 2023,Fall,2023,2025,Continuing,11,Part-Time,3.03,Retained
S00323,Health Sciences,Nursing,Nursing Major,Spring 2024,Spring,2024,2025,Continuing,16,Full-Time,3.02,
S00323,Health Sciences,Nursing,Nursing Major,Summer 2024,Summer,2024,2025,Continuing,6,Full-Time,3.53,
S00323,Health Sciences,Nursing,Nursing Major,Fall 2024,Fall,2024,2025,Continuing,12,Full-Time,3.04,Not Retained
S00323,Health Sciences,Nursing,Nursing Major,Spring 2025,Spring,2025,2025,Continuing,16,Full-Time,3.23,
S00323,Health Sciences,Nursing,Nursing Major,Summer 2025,Summer,2025,2025,Continuing,10,Full-Time,3.74,
S00324,Engineering,Civil Engineering,Civil Engineering Major,Fall 2023,Fall,2023,2023,First-Time,13,Full-Time,2.05,Not Retained
S00324,Engineering,Civil Engineering,Civil Engineering Major,Spring 2024,Spring,2024,2023,Continuing,16,Full-Time,2.19,
S00324,Engineering,Civil Engineering,Civil Engineering Major,Summer 2024,Summer,2024,2023,Continuing,6,Full-Time,2.17,
S00324,Engineering,Civil Engineering,Civil Engineering Major,Fall 2024,Fall,2024,2023,Continuing,13,Full-Time,1.77,Not Retained
S00324,Engineering,Civil Engineering,Civil Engineering Major,Spring 2025,Spring,2025,2023,Continuing,16,Full-Time,1.78,
S00324,Engineering,Civil Engineering,Civil Engineering Major,Summer 2025,Summer,2025,2023,Continuing,7,Full-Time,1.91,
S00325,Arts & Sciences,History,History Major,Fall 2023,Fall,2023,2024,Continuing,13,Full-Time,3.52,Retained
S00325,Arts & Sciences,History,History Major,Spring 2024,Spring,2024,2024,Continuing,14,Full-Time,3.3,
S00325,Arts & Sciences,History,History Major,Summer 2024,Summer,2024,2024,Continuing,6,Full-Time,3.92,
S00325,Arts & Sciences,History,History Major,Fall 2024,Fall,2024,2024,First-Time,17,Full-Time,4,Retained
S00325,Arts & Sciences,History,History Major,Spring 2025,Spring,2025,2024,Continuing,14,Full-Time,3.37,
S00325,Arts & Sciences,History,History Major,Summer 2025,Summer,2025,2024,Continuing,6,Full-Time,3.78,
S00326,Engineering,Electrical Engineering,Electrical Engineering Major,Fall 2023,Fall,2023,2024,Continuing,13,Full-Time,3.04,Retained
S00326,Engineering,Electrical Engineering,Electrical Engineering Major,Spring 2024,Spring,2024,2024,Continuing,13,Full-Time,2.78,
S00326,Engineering,Electrical Engineering,Electrical Engineering Major,Summer 2024,Summer,2024,2024,Continuing,6,Full-Time,3.14,
S00326,Engineering,Electrical Engineering,Electrical Engineering Major,Fall 2024,Fall,2024,2024,First-Time,15,Full-Time,3.09,Retained
S00326,Engineering,Electrical Engineering,Electrical Engineering Major,Spring 2025,Spring,2025,2024,Continuing,16,Full-Time,2.89,
S00326,Engineering,Electrical Engineering,Electrical Engineering Major,Summer 2025,Summer,2025,2024,Continuing,6,Full-Time,2.64,
S00327,Education,Educational Leadership,Educational Leadership Major,Fall 2023,Fall,2023,2024,Continuing,12,Full-Time,3.43,Retained
S00327,Education,Educational Leadership,Educational Leadership Major,Spring 2024,Spring,2024,2024,Continuing,14,Full-Time,3.41,
S00327,Education,Educational Leadership,Educational Leadership Major,Summer 2024,Summer,2024,2024,Continuing,6,Full-Time,2.96,
S00327,Education,Educational Leadership,Educational Leadership Major,Fall 2024,Fall,2024,2024,First-Time,10,Part-Time,2.9,Not Retained
S00327,Education,Educational Leadership,Educational Leadership Major,Spring 2025,Spring,2025,2024,Continuing,16,Full-Time,3.17,
S00327,Education,Educational Leadership,Educational Leadership Major,Summer 2025,Summer,2025,2024,Continuing,11,Full-Time,2.03,
S00328,Arts & Sciences,Psychology,Psychology Major,Fall 2023,Fall,2023,2023,First-Time,14,Full-Time,2.94,Not Retained
S00328,Arts & Sciences,Psychology,Psychology Major,Spring 2024,Spring,2024,2023,Continuing,15,Full-Time,3.06,
S00328,Arts & Sciences,Psychology,Psychology Major,Summer 2024,Summer,2024,2023,Continuing,7,Full-Time,2.14,
S00328,Arts & Sciences,Psychology,Psychology Major,Fall 2024,Fall,2024,2023,Continuing,16,Full-Time,2.34,Retained
S00328,Arts & Sciences,Psychology,Psychology Major,Spring 2025,Spring,2025,2023,Continuing,15,Full-Time,3.29,
S00328,Arts & Sciences,Psychology,Psychology Major,Summer 2025,Summer,2025,2023,Continuing,11,Full-Time,2.83,
S00329,Arts & Sciences,History,History Major,Fall 2023,Fall,2023,2023,First-Time,13,Full-Time,2.13,Not Retained
S00329,Arts & Sciences,History,History Major,Spring 2024,Spring,2024,2023,Continuing,13,Full-Time,2.01,
S00329,Arts & Sciences,History,History Major,Summer 2024,Summer,2024,2023,Continuing,7,Full-Time,1.49,
S00329,Arts & Sciences,History,History Major,Fall 2024,Fall,2024,2023,Continuing,16,Full-Time,2.25,Retained
S00329,Arts & Sciences,History,History Major,Spring 2025,Spring,2025,2023,Continuing,13,Full-Time,2.09,
S00329,Arts & Sciences,History,History Major,Summer 2025,Summer,2025,2023,Continuing,9,Full-Time,1.57,
S00330,Arts & Sciences,Chemistry,Chemistry Major,Fall 2023,Fall,2023,2023,First-Time,13,Full-Time,3.87,Retained
S00330,Arts & Sciences,Chemistry,Chemistry Major,Spring 2024,Spring,2024,2023,Continuing,16,Full-Time,3.36,
S00330,Arts & Sciences,Chemistry,Chemistry Major,Summer 2024,Summer,2024,2023,Continuing,3,Part-Time,3.23,
S00330,Arts & Sciences,Chemistry,Chemistry Major,Fall 2024,Fall,2024,2023,Continuing,14,Full-Time,2.82,Retained
S00330,Arts & Sciences,Chemistry,Chemistry Major,Spring 2025,Spring,2025,2023,Continuing,16,Full-Time,3.19,
S00330,Arts & Sciences,Chemistry,Chemistry Major,Summer 2025,Summer,2025,2023,Continuing,6,Full-Time,3.37,
S00331,Business,Marketing,Marketing Major,Fall 2023,Fall,2023,2024,Continuing,14,Full-Time,3.72,Retained
S00331,Business,Marketing,Marketing Major,Spring 2024,Spring,2024,2024,Continuing,11,Part-Time,4,
S00331,Business,Marketing,Marketing Major,Summer 2024,Summer,2024,2024,Continuing,8,Full-Time,3.65,
S00331,Business,Marketing,Marketing Major,Fall 2024,Fall,2024,2024,First-Time,15,Full-Time,4,Retained
S00331,Business,Marketing,Marketing Major,Spring 2025,Spring,2025,2024,Continuing,17,Full-Time,3.11,
S00331,Business,Marketing,Marketing Major,Summer 2025,Summer,2025,2024,Continuing,6,Full-Time,3.48,
S00332,Arts & Sciences,Statistics,Statistics Major,Fall 2023,Fall,2023,2023,First-Time,13,Full-Time,2.46,Not Retained
S00332,Arts & Sciences,Statistics,Statistics Major,Spring 2024,Spring,2024,2023,Continuing,11,Part-Time,2.61,
S00332,Arts & Sciences,Statistics,Statistics Major,Summer 2024,Summer,2024,2023,Continuing,7,Full-Time,2.3,
S00332,Arts & Sciences,Statistics,Statistics Major,Fall 2024,Fall,2024,2023,Continuing,17,Full-Time,2.24,Not Retained
S00332,Arts & Sciences,Statistics,Statistics Major,Spring 2025,Spring,2025,2023,Continuing,15,Full-Time,2.69,
S00332,Arts & Sciences,Statistics,Statistics Major,Summer 2025,Summer,2025,2023,Continuing,7,Full-Time,2.38,
S00333,Health Sciences,Health Administration,Health Administration Major,Fall 2023,Fall,2023,2023,First-Time,15,Full-Time,2.49,Retained
S00333,Health Sciences,Health Administration,Health Administration Major,Spring 2024,Spring,2024,2023,Continuing,13,Full-Time,2.38,
S00333,Health Sciences,Health Administration,Health Administration Major,Summer 2024,Summer,2024,2023,Continuing,4,Part-Time,2.4,
S00333,Health Sciences,Health Administration,Health Administration Major,Fall 2024,Fall,2024,2023,Continuing,12,Full-Time,3.43,Retained
S00333,Health Sciences,Health Administration,Health Administration Major,Spring 2025,Spring,2025,2023,Continuing,13,Full-Time,1.92,
S00333,Health Sciences,Health Administration,Health Administration Major,Summer 2025,Summer,2025,2023,Continuing,11,Full-Time,3.73,
S00334,Health Sciences,Nursing,Nursing Major,Fall 2023,Fall,2023,2023,First-Time,13,Full-Time,2.24,Retained
S00334,Health Sciences,Nursing,Nursing Major,Spring 2024,Spring,2024,2023,Continuing,14,Full-Time,2.55,
S00334,Health Sciences,Nursing,Nursing Major,Summer 2024,Summer,2024,2023,Continuing,3,Part-Time,2.87,
S00334,Health Sciences,Nursing,Nursing Major,Fall 2024,Fall,2024,2023,Continuing,12,Full-Time,2.67,Retained
S00334,Health Sciences,Nursing,Nursing Major,Spring 2025,Spring,2025,2023,Continuing,14,Full-Time,2.88,
S00334,Health Sciences,Nursing,Nursing Major,Summer 2025,Summer,2025,2023,Continuing,7,Full-Time,2.3,
S00335,Business,Management,Management Major,Fall 2023,Fall,2023,2024,Continuing,11,Part-Time,2.87,Retained
S00335,Business,Management,Management Major,Spring 2024,Spring,2024,2024,Continuing,14,Full-Time,2.82,
S00335,Business,Management,Management Major,Summer 2024,Summer,2024,2024,Continuing,5,Part-Time,2.47,
S00335,Business,Management,Management Major,Fall 2024,Fall,2024,2024,First-Time,13,Full-Time,3.83,Retained
S00335,Business,Management,Management Major,Spring 2025,Spring,2025,2024,Continuing,14,Full-Time,3.13,
S00335,Business,Management,Management Major,Summer 2025,Summer,2025,2024,Continuing,5,Part-Time,2.98,
S00336,Business,Finance,Finance Major,Fall 2023,Fall,2023,2023,First-Time,17,Full-Time,4,Retained
S00336,Business,Finance,Finance Major,Spring 2024,Spring,2024,2023,Continuing,17,Full-Time,3.89,
S00336,Business,Finance,Finance Major,Summer 2024,Summer,2024,2023,Continuing,10,Full-Time,3.84,
S00336,Business,Finance,Finance Major,Fall 2024,Fall,2024,2023,Continuing,11,Part-Time,3.14,Retained
S00336,Business,Finance,Finance Major,Spring 2025,Spring,2025,2023,Continuing,16,Full-Time,4,
S00336,Business,Finance,Finance Major,Summer 2025,Summer,2025,2023,Continuing,11,Full-Time,3.91,
S00337,Arts & Sciences,Biology,Biology Major,Fall 2023,Fall,2023,2023,First-Time,10,Part-Time,3.15,Not Retained
S00337,Arts & Sciences,Biology,Biology Major,Spring 2024,Spring,2024,2023,Continuing,17,Full-Time,2.74,
S00337,Arts & Sciences,Biology,Biology Major,Summer 2024,Summer,2024,2023,Continuing,7,Full-Time,2.1,
S00337,Arts & Sciences,Biology,Biology Major,Fall 2024,Fall,2024,2023,Continuing,11,Part-Time,1.79,Not Retained
S00337,Arts & Sciences,Biology,Biology Major,Spring 2025,Spring,2025,2023,Continuing,15,Full-Time,2.82,
S00337,Arts & Sciences,Biology,Biology Major,Summer 2025,Summer,2025,2023,Continuing,3,Part-Time,2.02,
S00338,Arts & Sciences,Statistics,Statistics Major,Fall 2023,Fall,2023,2024,Continuing,12,Full-Time,2.23,Retained
S00338,Arts & Sciences,Statistics,Statistics Major,Spring 2024,Spring,2024,2024,Continuing,11,Part-Time,1.27,
S00338,Arts & Sciences,Statistics,Statistics Major,Summer 2024,Summer,2024,2024,Continuing,5,Part-Time,2.8,
S00338,Arts & Sciences,Statistics,Statistics Major,Fall 2024,Fall,2024,2024,First-Time,16,Full-Time,0.93,Retained
S00338,Arts & Sciences,Statistics,Statistics Major,Spring 2025,Spring,2025,2024,Continuing,13,Full-Time,2,
S00338,Arts & Sciences,Statistics,Statistics Major,Summer 2025,Summer,2025,2024,Continuing,4,Part-Time,2.47,
S00339,Health Sciences,Physical Therapy,Physical Therapy Major,Fall 2023,Fall,2023,2023,First-Time,13,Full-Time,1.87,Retained
S00339,Health Sciences,Physical Therapy,Physical Therapy Major,Spring 2024,Spring,2024,2023,Continuing,14,Full-Time,2.46,
S00339,Health Sciences,Physical Therapy,Physical Therapy Major,Summer 2024,Summer,2024,2023,Continuing,5,Part-Time,1.44,
S00339,Health Sciences,Physical Therapy,Physical Therapy Major,Fall 2024,Fall,2024,2023,Continuing,15,Full-Time,2.14,Retained
S00339,Health Sciences,Physical Therapy,Physical Therapy Major,Spring 2025,Spring,2025,2023,Continuing,14,Full-Time,1.94,
S00339,Health Sciences,Physical Therapy,Physical Therapy Major,Summer 2025,Summer,2025,2023,Continuing,4,Part-Time,2.42,
S00340,Arts & Sciences,Chemistry,Chemistry Major,Fall 2023,Fall,2023,2023,First-Time,14,Full-Time,2.96,Retained
S00340,Arts & Sciences,Chemistry,Chemistry Major,Spring 2024,Spring,2024,2023,Continuing,14,Full-Time,2.41,
S00340,Arts & Sciences,Chemistry,Chemistry Major,Summer 2024,Summer,2024,2023,Continuing,5,Part-Time,2.45,
S00340,Arts & Sciences,Chemistry,Chemistry Major,Fall 2024,Fall,2024,2023,Continuing,14,Full-Time,2.97,Retained
S00340,Arts & Sciences,Chemistry,Chemistry Major,Spring 2025,Spring,2025,2023,Continuing,14,Full-Time,3.4,
S00340,Arts & Sciences,Chemistry,Chemistry Major,Summer 2025,Summer,2025,2023,Continuing,3,Part-Time,3.49,
S00341,Health Sciences,Nursing,Nursing Major,Fall 2023,Fall,2023,2024,Continuing,17,Full-Time,2.42,Not Retained
S00341,Health Sciences,Nursing,Nursing Major,Spring 2024,Spring,2024,2024,Continuing,10,Part-Time,2.86,
S00341,Health Sciences,Nursing,Nursing Major,Summer 2024,Summer,2024,2024,Continuing,5,Part-Time,2.6,
S00341,Health Sciences,Nursing,Nursing Major,Fall 2024,Fall,2024,2024,First-Time,15,Full-Time,2.5,Retained
S00341,Health Sciences,Nursing,Nursing Major,Spring 2025,Spring,2025,2024,Continuing,14,Full-Time,2.82,
S00341,Health Sciences,Nursing,Nursing Major,Summer 2025,Summer,2025,2024,Continuing,6,Full-Time,2.08,
S00342,Engineering,Mechanical Engineering,Mechanical Engineering Major,Fall 2023,Fall,2023,2023,First-Time,13,Full-Time,2.24,Retained
S00342,Engineering,Mechanical Engineering,Mechanical Engineering Major,Spring 2024,Spring,2024,2023,Continuing,13,Full-Time,3.53,
S00342,Engineering,Mechanical Engineering,Mechanical Engineering Major,Summer 2024,Summer,2024,2023,Continuing,9,Full-Time,2.82,
S00342,Engineering,Mechanical Engineering,Mechanical Engineering Major,Fall 2024,Fall,2024,2023,Continuing,15,Full-Time,2.87,Retained
S00342,Engineering,Mechanical Engineering,Mechanical Engineering Major,Spring 2025,Spring,2025,2023,Continuing,9,Part-Time,3.48,
S00342,Engineering,Mechanical Engineering,Mechanical Engineering Major,Summer 2025,Summer,2025,2023,Continuing,3,Part-Time,3.2,
S00343,Arts & Sciences,Statistics,Statistics Major,Fall 2023,Fall,2023,2023,First-Time,13,Full-Time,3.15,Retained
S00343,Arts & Sciences,Statistics,Statistics Major,Spring 2024,Spring,2024,2023,Continuing,13,Full-Time,2.39,
S00343,Arts & Sciences,Statistics,Statistics Major,Summer 2024,Summer,2024,2023,Continuing,10,Full-Time,3.21,
S00343,Arts & Sciences,Statistics,Statistics Major,Fall 2024,Fall,2024,2023,Continuing,13,Full-Time,2.63,Retained
S00343,Arts & Sciences,Statistics,Statistics Major,Spring 2025,Spring,2025,2023,Continuing,17,Full-Time,2.46,
S00343,Arts & Sciences,Statistics,Statistics Major,Summer 2025,Summer,2025,2023,Continuing,7,Full-Time,2.74,
S00344,Arts & Sciences,Statistics,Statistics Major,Fall 2023,Fall,2023,2024,Continuing,12,Full-Time,2.32,Not Retained
S00344,Arts & Sciences,Statistics,Statistics Major,Spring 2024,Spring,2024,2024,Continuing,13,Full-Time,2.3,
S00344,Arts & Sciences,Statistics,Statistics Major,Summer 2024,Summer,2024,2024,Continuing,9,Full-Time,1.76,
S00344,Arts & Sciences,Statistics,Statistics Major,Fall 2024,Fall,2024,2024,First-Time,13,Full-Time,2.08,Not Retained
S00344,Arts & Sciences,Statistics,Statistics Major,Spring 2025,Spring,2025,2024,Continuing,11,Part-Time,2.46,
S00344,Arts & Sciences,Statistics,Statistics Major,Summer 2025,Summer,2025,2024,Continuing,12,Full-Time,1.79,
S00345,Arts & Sciences,Statistics,Statistics Major,Fall 2023,Fall,2023,2023,First-Time,16,Full-Time,2.83,Retained
S00345,Arts & Sciences,Statistics,Statistics Major,Spring 2024,Spring,2024,2023,Continuing,10,Part-Time,3.62,
S00345,Arts & Sciences,Statistics,Statistics Major,Summer 2024,Summer,2024,2023,Continuing,7,Full-Time,3.37,
S00345,Arts & Sciences,Statistics,Statistics Major,Fall 2024,Fall,2024,2023,Continuing,12,Full-Time,2.92,Retained
S00345,Arts & Sciences,Statistics,Statistics Major,Spring 2025,Spring,2025,2023,Continuing,13,Full-Time,2.97,
S00345,Arts & Sciences,Statistics,Statistics Major,Summer 2025,Summer,2025,2023,Continuing,9,Full-Time,2.99,
S00346,Engineering,Mechanical Engineering,Mechanical Engineering Major,Fall 2023,Fall,2023,2024,Continuing,12,Full-Time,2.91,Retained
S00346,Engineering,Mechanical Engineering,Mechanical Engineering Major,Spring 2024,Spring,2024,2024,Continuing,16,Full-Time,2.64,
S00346,Engineering,Mechanical Engineering,Mechanical Engineering Major,Summer 2024,Summer,2024,2024,Continuing,4,Part-Time,3.2,
S00346,Engineering,Mechanical Engineering,Mechanical Engineering Major,Fall 2024,Fall,2024,2024,First-Time,14,Full-Time,2.81,Retained
S00346,Engineering,Mechanical Engineering,Mechanical Engineering Major,Spring 2025,Spring,2025,2024,Continuing,13,Full-Time,3.13,
S00346,Engineering,Mechanical Engineering,Mechanical Engineering Major,Summer 2025,Summer,2025,2024,Continuing,10,Full-Time,3.18,
S00347,Health Sciences,Nursing,Nursing Major,Fall 2023,Fall,2023,2024,Continuing,17,Full-Time,3.22,Retained
S00347,Health Sciences,Nursing,Nursing Major,Spring 2024,Spring,2024,2024,Continuing,17,Full-Time,3.68,
S00347,Health Sciences,Nursing,Nursing Major,Summer 2024,Summer,2024,2024,Continuing,7,Full-Time,3.5,
S00347,Health Sciences,Nursing,Nursing Major,Fall 2024,Fall,2024,2024,First-Time,9,Part-Time,2.37,Not Retained
S00347,Health Sciences,Nursing,Nursing Major,Spring 2025,Spring,2025,2024,Continuing,16,Full-Time,3.7,
S00347,Health Sciences,Nursing,Nursing Major,Summer 2025,Summer,2025,2024,Continuing,7,Full-Time,3.81,
S00348,Business,Accounting,Accounting Major,Fall 2023,Fall,2023,2024,Continuing,14,Full-Time,2.43,Retained
S00348,Business,Accounting,Accounting Major,Spring 2024,Spring,2024,2024,Continuing,16,Full-Time,1.15,
S00348,Business,Accounting,Accounting Major,Summer 2024,Summer,2024,2024,Continuing,9,Full-Time,1.76,
S00348,Business,Accounting,Accounting Major,Fall 2024,Fall,2024,2024,First-Time,12,Full-Time,1.56,Retained
S00348,Business,Accounting,Accounting Major,Spring 2025,Spring,2025,2024,Continuing,15,Full-Time,2.08,
S00348,Business,Accounting,Accounting Major,Summer 2025,Summer,2025,2024,Continuing,5,Part-Time,2.54,
S00349,Business,Accounting,Accounting Major,Fall 2023,Fall,2023,2025,Continuing,13,Full-Time,2.99,Retained
S00349,Business,Accounting,Accounting Major,Spring 2024,Spring,2024,2025,Continuing,15,Full-Time,2.9,
S00349,Business,Accounting,Accounting Major,Summer 2024,Summer,2024,2025,Continuing,4,Part-Time,2.56,
S00349,Business,Accounting,Accounting Major,Fall 2024,Fall,2024,2025,Continuing,17,Full-Time,3.24,Not Retained
S00349,Business,Accounting,Accounting Major,Spring 2025,Spring,2025,2025,Continuing,16,Full-Time,3.36,
S00349,Business,Accounting,Accounting Major,Summer 2025,Summer,2025,2025,Continuing,9,Full-Time,3.27,
S00350,Engineering,Civil Engineering,Civil Engineering Major,Fall 2023,Fall,2023,2024,Continuing,12,Full-Time,2.87,Not Retained
S00350,Engineering,Civil Engineering,Civil Engineering Major,Spring 2024,Spring,2024,2024,Continuing,16,Full-Time,3.51,
S00350,Engineering,Civil Engineering,Civil Engineering Major,Summer 2024,Summer,2024,2024,Continuing,6,Full-Time,3.52,
S00350,Engineering,Civil Engineering,Civil Engineering Major,Fall 2024,Fall,2024,2024,First-Time,16,Full-Time,3.47,Retained
S00350,Engineering,Civil Engineering,Civil Engineering Major,Spring 2025,Spring,2025,2024,Continuing,15,Full-Time,3.75,
S00350,Engineering,Civil Engineering,Civil Engineering Major,Summer 2025,Summer,2025,2024,Continuing,7,Full-Time,4,
S00351,Arts & Sciences,Biology,Biology Major,Fall 2023,Fall,2023,2023,First-Time,17,Full-Time,3.28,Not Retained
S00351,Arts & Sciences,Biology,Biology Major,Spring 2024,Spring,2024,2023,Continuing,16,Full-Time,4,
S00351,Arts & Sciences,Biology,Biology Major,Summer 2024,Summer,2024,2023,Continuing,7,Full-Time,3.58,
S00351,Arts & Sciences,Biology,Biology Major,Fall 2024,Fall,2024,2023,Continuing,16,Full-Time,4,Retained
S00351,Arts & Sciences,Biology,Biology Major,Spring 2025,Spring,2025,2023,Continuing,17,Full-Time,3.82,
S00351,Arts & Sciences,Biology,Biology Major,Summer 2025,Summer,2025,2023,Continuing,5,Part-Time,3.6,
S00352,Health Sciences,Public Health,Public Health Major,Fall 2023,Fall,2023,2024,Continuing,14,Full-Time,1.8,Retained
S00352,Health Sciences,Public Health,Public Health Major,Spring 2024,Spring,2024,2024,Continuing,16,Full-Time,2,
S00352,Health Sciences,Public Health,Public Health Major,Summer 2024,Summer,2024,2024,Continuing,6,Full-Time,2.26,
S00352,Health Sciences,Public Health,Public Health Major,Fall 2024,Fall,2024,2024,First-Time,14,Full-Time,2.89,Retained
S00352,Health Sciences,Public Health,Public Health Major,Spring 2025,Spring,2025,2024,Continuing,15,Full-Time,1.36,
S00352,Health Sciences,Public Health,Public Health Major,Summer 2025,Summer,2025,2024,Continuing,5,Part-Time,1.5,
S00353,Arts & Sciences,Biology,Biology Major,Fall 2023,Fall,2023,2024,Continuing,14,Full-Time,3.52,Retained
S00353,Arts & Sciences,Biology,Biology Major,Spring 2024,Spring,2024,2024,Continuing,15,Full-Time,3.8,
S00353,Arts & Sciences,Biology,Biology Major,Summer 2024,Summer,2024,2024,Continuing,10,Full-Time,3.79,
S00353,Arts & Sciences,Biology,Biology Major,Fall 2024,Fall,2024,2024,First-Time,13,Full-Time,4,Not Retained
S00353,Arts & Sciences,Biology,Biology Major,Spring 2025,Spring,2025,2024,Continuing,16,Full-Time,3.48,
S00353,Arts & Sciences,Biology,Biology Major,Summer 2025,Summer,2025,2024,Continuing,3,Part-Time,4,
S00354,Engineering,Computer Engineering,Computer Engineering Major,Fall 2023,Fall,2023,2024,Continuing,13,Full-Time,3.05,Retained
S00354,Engineering,Computer Engineering,Computer Engineering Major,Spring 2024,Spring,2024,2024,Continuing,12,Full-Time,2.77,
S00354,Engineering,Computer Engineering,Computer Engineering Major,Summer 2024,Summer,2024,2024,Continuing,5,Part-Time,2.09,
S00354,Engineering,Computer Engineering,Computer Engineering Major,Fall 2024,Fall,2024,2024,First-Time,15,Full-Time,3,Not Retained
S00354,Engineering,Computer Engineering,Computer Engineering Major,Spring 2025,Spring,2025,2024,Continuing,9,Part-Time,2.84,
S00354,Engineering,Computer Engineering,Computer Engineering Major,Summer 2025,Summer,2025,2024,Continuing,6,Full-Time,2.83,
S00355,Arts & Sciences,History,History Major,Fall 2023,Fall,2023,2023,First-Time,13,Full-Time,2.09,Not Retained
S00355,Arts & Sciences,History,History Major,Spring 2024,Spring,2024,2023,Continuing,12,Full-Time,2.84,
S00355,Arts & Sciences,History,History Major,Summer 2024,Summer,2024,2023,Continuing,8,Full-Time,2.53,
S00355,Arts & Sciences,History,History Major,Fall 2024,Fall,2024,2023,Continuing,14,Full-Time,2.53,Retained
S00355,Arts & Sciences,History,History Major,Spring 2025,Spring,2025,2023,Continuing,17,Full-Time,2.13,
S00355,Arts & Sciences,History,History Major,Summer 2025,Summer,2025,2023,Continuing,5,Part-Time,1.97,
S00356,Business,Information Systems,Information Systems Major,Fall 2023,Fall,2023,2024,Continuing,15,Full-Time,2.16,Retained
S00356,Business,Information Systems,Information Systems Major,Spring 2024,Spring,2024,2024,Continuing,10,Part-Time,2.81,
S00356,Business,Information Systems,Information Systems Major,Summer 2024,Summer,2024,2024,Continuing,8,Full-Time,2.67,
S00356,Business,Information Systems,Information Systems Major,Fall 2024,Fall,2024,2024,First-Time,17,Full-Time,2.76,Not Retained
S00356,Business,Information Systems,Information Systems Major,Spring 2025,Spring,2025,2024,Continuing,15,Full-Time,3.27,
S00356,Business,Information Systems,Information Systems Major,Summer 2025,Summer,2025,2024,Continuing,5,Part-Time,2.01,
S00357,Health Sciences,Health Administration,Health Administration Major,Fall 2023,Fall,2023,2023,First-Time,15,Full-Time,3.48,Retained
S00357,Health Sciences,Health Administration,Health Administration Major,Spring 2024,Spring,2024,2023,Continuing,15,Full-Time,3.16,
S00357,Health Sciences,Health Administration,Health Administration Major,Summer 2024,Summer,2024,2023,Continuing,8,Full-Time,2.71,
S00357,Health Sciences,Health Administration,Health Administration Major,Fall 2024,Fall,2024,2023,Continuing,11,Part-Time,2.57,Retained
S00357,Health Sciences,Health Administration,Health Administration Major,Spring 2025,Spring,2025,2023,Continuing,11,Part-Time,3.01,
S00357,Health Sciences,Health Administration,Health Administration Major,Summer 2025,Summer,2025,2023,Continuing,6,Full-Time,2.84,
S00358,Engineering,Electrical Engineering,Electrical Engineering Major,Fall 2023,Fall,2023,2023,First-Time,14,Full-Time,2.39,Retained
S00358,Engineering,Electrical Engineering,Electrical Engineering Major,Spring 2024,Spring,2024,2023,Continuing,15,Full-Time,2.28,
S00358,Engineering,Electrical Engineering,Electrical Engineering Major,Summer 2024,Summer,2024,2023,Continuing,9,Full-Time,2.49,
S00358,Engineering,Electrical Engineering,Electrical Engineering Major,Fall 2024,Fall,2024,2023,Continuing,14,Full-Time,2.37,Retained
S00358,Engineering,Electrical Engineering,Electrical Engineering Major,Spring 2025,Spring,2025,2023,Continuing,15,Full-Time,2.43,
S00358,Engineering,Electrical Engineering,Electrical Engineering Major,Summer 2025,Summer,2025,2023,Continuing,8,Full-Time,2.28,
S00359,Business,Accounting,Accounting Major,Fall 2023,Fall,2023,2024,Continuing,15,Full-Time,2.79,Retained
S00359,Business,Accounting,Accounting Major,Spring 2024,Spring,2024,2024,Continuing,13,Full-Time,3.29,
S00359,Business,Accounting,Accounting Major,Summer 2024,Summer,2024,2024,Continuing,11,Full-Time,3.36,
S00359,Business,Accounting,Accounting Major,Fall 2024,Fall,2024,2024,First-Time,13,Full-Time,2.7,Retained
S00359,Business,Accounting,Accounting Major,Spring 2025,Spring,2025,2024,Continuing,13,Full-Time,3.39,
S00359,Business,Accounting,Accounting Major,Summer 2025,Summer,2025,2024,Continuing,4,Part-Time,2.64,
S00360,Health Sciences,Public Health,Public Health Major,Fall 2023,Fall,2023,2023,First-Time,9,Part-Time,2.89,Retained
S00360,Health Sciences,Public Health,Public Health Major,Spring 2024,Spring,2024,2023,Continuing,17,Full-Time,2.52,
S00360,Health Sciences,Public Health,Public Health Major,Summer 2024,Summer,2024,2023,Continuing,4,Part-Time,3.14,
S00360,Health Sciences,Public Health,Public Health Major,Fall 2024,Fall,2024,2023,Continuing,13,Full-Time,2.39,Retained
S00360,Health Sciences,Public Health,Public Health Major,Spring 2025,Spring,2025,2023,Continuing,12,Full-Time,2.5,
S00360,Health Sciences,Public Health,Public Health Major,Summer 2025,Summer,2025,2023,Continuing,3,Part-Time,2.98,
